iShares Russell 1000 ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"120,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","49,691,825.10","0.12","49,691,825.10","381,951.00","130.10","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","49,542,195.60","0.12","49,542,195.60","522,597.00","94.80","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","49,344,881.28","0.12","49,344,881.28","188,368.00","261.96","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","49,249,112.43","0.12","49,249,112.43","49,249,112.00","1.00","United States","-","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","48,725,829.50","0.12","48,725,829.50","478,925.00","101.74","United States","NYSE","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","48,393,923.44","0.12","48,393,923.44","574,136.00","84.29","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","48,081,573.08","0.12","48,081,573.08","227,132.00","211.69","United States","NASDAQ","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","47,818,549.04","0.11","47,818,549.04","162,626.00","294.04","United States","NYSE","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","47,321,659.00","0.11","47,321,659.00","180,755.00","261.80","United States","NYSE","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","47,267,942.24","0.11","47,267,942.24","1,389,008.00","34.03","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","47,135,148.32","0.11","47,135,148.32","110,948.00","424.84","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","47,116,617.80","0.11","47,116,617.80","645,610.00","72.98","United States","NYSE","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","47,020,456.94","0.11","47,020,456.94","149,909.00","313.66","United States","NYSE","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","46,529,871.51","0.11","46,529,871.51","178,023.00","261.37","United States","NYSE","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","46,478,663.30","0.11","46,478,663.30","159,070.00","292.19","United States","NYSE","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","45,668,049.00","0.11","45,668,049.00","133,143.00","343.00","United States","NYSE","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","45,587,954.50","0.11","45,587,954.50","160,946.00","283.25","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","45,430,045.70","0.11","45,430,045.70","158,630.00","286.39","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","45,386,745.16","0.11","45,386,745.16","223,558.00","203.02","United States","NYSE","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","45,119,631.24","0.11","45,119,631.24","151,964.00","296.91","United States","NYSE","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","45,106,010.11","0.11","45,106,010.11","1,666,273.00","27.07","United States","NASDAQ","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","45,001,544.22","0.11","45,001,544.22","39,474.00","1,140.03","United States","NYSE","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","44,793,329.82","0.11","44,793,329.82","708,531.00","63.22","United States","NASDAQ","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","44,725,047.72","0.11","44,725,047.72","466,469.00","95.88","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","44,202,871.77","0.11","44,202,871.77","154,951.00","285.27","United States","NYSE","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","43,041,577.46","0.10","43,041,577.46","245,363.00","175.42","United States","NYSE","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","42,929,138.45","0.10","42,929,138.45","835,685.00","51.37","United States","NYSE","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","42,921,349.50","0.10","42,921,349.50","484,987.00","88.50","United States","NYSE","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","41,822,253.72","0.10","41,822,253.72","445,107.00","93.96","United States","NYSE","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","41,737,409.70","0.10","41,737,409.70","231,630.00","180.19","United States","NYSE","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","41,603,735.25","0.10","41,603,735.25","368,991.00","112.75","United States","NASDAQ","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","40,855,024.65","0.10","40,855,024.65","130,757.00","312.45","United States","NYSE","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","40,694,896.09","0.10","40,694,896.09","245,579.00","165.71","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","40,507,991.04","0.10","40,507,991.04","100,864.00","401.61","United States","NYSE","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","40,166,282.65","0.10","40,166,282.65","902,005.00","44.53","United States","NYSE","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","39,633,556.05","0.09","39,633,556.05","483,395.00","81.99","United States","NYSE","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","39,628,445.85","0.09","39,628,445.85","652,965.00","60.69","United States","NYSE","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","39,551,766.75","0.09","39,551,766.75","11,925.00","3,316.71","United States","NYSE","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","38,694,418.56","0.09","38,694,418.56","322,884.00","119.84","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","38,309,162.94","0.09","38,309,162.94","222,974.00","171.81","United States","NYSE","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","38,280,631.80","0.09","38,280,631.80","261,123.00","146.60","United States","NASDAQ","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","37,894,080.51","0.09","37,894,080.51","151,437.00","250.23","United States","NYSE","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","37,740,547.80","0.09","37,740,547.80","186,180.00","202.71","United States","NYSE","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","37,566,611.16","0.09","37,566,611.16","241,617.00","155.48","United States","NYSE","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","37,541,638.30","0.09","37,541,638.30","181,273.00","207.10","United States","NYSE","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","37,162,308.72","0.09","37,162,308.72","610,419.00","60.88","United States","NYSE","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","36,909,793.50","0.09","36,909,793.50","821,130.00","44.95","United States","NASDAQ","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","36,653,349.70","0.09","36,653,349.70","298,310.00","122.87","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","36,182,276.00","0.09","36,182,276.00","236,795.00","152.80","United States","NYSE","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","36,144,841.26","0.09","36,144,841.26","178,926.00","202.01","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","35,841,446.08","0.09","35,841,446.08","498,976.00","71.83","United States","NASDAQ","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","35,764,613.82","0.09","35,764,613.82","336,102.00","106.41","United States","NYSE","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","35,768,579.68","0.09","35,768,579.68","541,784.00","66.02","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","35,691,534.65","0.09","35,691,534.65","314,879.00","113.35","United States","NYSE","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","35,310,777.04","0.08","35,310,777.04","50,248.00","702.73","United States","NASDAQ","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","35,081,415.60","0.08","35,081,415.60","169,820.00","206.58","United States","NYSE","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","34,983,027.04","0.08","34,983,027.04","152,206.00","229.84","United States","NASDAQ","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","34,964,352.00","0.08","34,964,352.00","723,600.00","48.32","United States","NASDAQ","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","34,920,962.80","0.08","34,920,962.80","317,810.00","109.88","United States","NYSE","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","34,857,790.03","0.08","34,857,790.03","33,103.00","1,053.01","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","34,558,144.00","0.08","34,558,144.00","441,920.00","78.20","United States","NASDAQ","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","34,470,825.32","0.08","34,470,825.32","164,743.00","209.24","United States","NYSE","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","34,110,061.92","0.08","34,110,061.92","122,232.00","279.06","United States","NYSE","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","34,046,240.70","0.08","34,046,240.70","24,910.00","1,366.77","United States","NYSE","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","33,218,263.40","0.08","33,218,263.40","45,238.00","734.30","United States","NYSE","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","33,000,422.35","0.08","33,000,422.35","111,635.00","295.61","United States","NASDAQ","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","32,946,757.76","0.08","32,946,757.76","31,168.00","1,057.07","United States","NYSE","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","32,889,868.11","0.08","32,889,868.11","421,179.00","78.09","United States","NASDAQ","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","32,787,504.64","0.08","32,787,504.64","501,952.00","65.32","United States","NYSE","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","32,674,354.18","0.08","32,674,354.18","411,827.00","79.34","United States","NYSE","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","32,413,026.36","0.08","32,413,026.36","298,958.00","108.42","United States","NYSE","USD","1.00","USD","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","32,377,669.60","0.08","32,377,669.60","2,380,711.00","13.60","Brazil","NYSE","USD","1.00","USD","-"
"AU","ANGLOGOLD ASHANTI PLC","Materials","Equity","32,186,268.18","0.08","32,186,268.18","360,954.00","89.17","South Africa","NYSE","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","31,693,593.12","0.08","31,693,593.12","56,766.00","558.32","United States","NASDAQ","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","31,551,147.39","0.08","31,551,147.39","2,774,947.00","11.37","United States","NYSE","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","31,410,492.41","0.08","31,410,492.41","203,291.00","154.51","United States","NYSE","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","31,293,839.19","0.07","31,293,839.19","144,993.00","215.83","United States","NYSE","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","30,724,411.56","0.07","30,724,411.56","199,561.00","153.96","United States","NYSE","USD","1.00","USD","-"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","30,603,995.88","0.07","30,603,995.88","136,163.00","224.76","United States","NYSE","USD","1.00","USD","-"
"COHR","COHERENT CORP","Information Technology","Equity","30,403,347.60","0.07","30,403,347.60","124,870.00","243.48","United States","NYSE","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","30,367,902.25","0.07","30,367,902.25","559,777.00","54.25","United States","NYSE","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","30,364,114.34","0.07","30,364,114.34","414,697.00","73.22","United States","NYSE","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","30,222,838.38","0.07","30,222,838.38","466,186.00","64.83","United States","NYSE","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","29,985,179.22","0.07","29,985,179.22","112,722.00","266.01","United States","NYSE","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","29,347,621.35","0.07","29,347,621.35","673,265.00","43.59","United States","NASDAQ","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","29,118,770.28","0.07","29,118,770.28","96,407.00","302.04","United States","NYSE","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","29,068,859.05","0.07","29,068,859.05","430,331.00","67.55","United States","NYSE","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","29,045,798.37","0.07","29,045,798.37","120,467.00","241.11","United States","NYSE","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","28,969,547.26","0.07","28,969,547.26","938,741.00","30.86","United States","NYSE","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","28,830,973.76","0.07","28,830,973.76","258,157.00","111.68","United States","NYSE","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","28,768,306.60","0.07","28,768,306.60","65,860.00","436.81","United States","NYSE","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","28,751,161.88","0.07","28,751,161.88","356,228.00","80.71","United States","NYSE","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","28,679,823.20","0.07","28,679,823.20","90,370.00","317.36","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","28,641,714.24","0.07","28,641,714.24","643,056.00","44.54","United States","NASDAQ","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","28,356,905.28","0.07","28,356,905.28","140,492.00","201.84","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","28,337,478.20","0.07","28,337,478.20","322,090.00","87.98","United States","NASDAQ","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","28,325,627.50","0.07","28,325,627.50","80,585.00","351.50","United States","NYSE","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","28,099,975.25","0.07","28,099,975.25","385,195.00","72.95","United States","NYSE","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","28,067,763.21","0.07","28,067,763.21","222,707.00","126.03","United States","NASDAQ","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","27,955,068.20","0.07","27,955,068.20","341,749.00","81.80","United States","NYSE","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","27,847,876.49","0.07","27,847,876.49","211,337.00","131.77","United States","NYSE","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","27,348,684.17","0.07","27,348,684.17","333,887.00","81.91","United States","NYSE","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","26,982,706.51","0.06","26,982,706.51","1,571,503.00","17.17","United States","NYSE","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","26,821,250.60","0.06","26,821,250.60","396,178.00","67.70","United States","NYSE","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","26,723,411.80","0.06","26,723,411.80","26,723,412.00","100.00","United States","-","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","26,673,510.80","0.06","26,673,510.80","50,962.00","523.40","United States","NYSE","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","26,657,246.27","0.06","26,657,246.27","163,171.00","163.37","United States","NYSE","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","26,651,147.04","0.06","26,651,147.04","115,794.00","230.16","United States","NYSE","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","26,550,389.40","0.06","26,550,389.40","232,165.00","114.36","United States","NYSE","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","26,445,607.52","0.06","26,445,607.52","199,861.00","132.32","United States","NYSE","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","26,409,092.34","0.06","26,409,092.34","76,677.00","344.42","United States","NASDAQ","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","26,305,818.00","0.06","26,305,818.00","322,850.00","81.48","United States","NASDAQ","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","25,607,885.38","0.06","25,607,885.38","158,917.00","161.14","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","25,480,614.96","0.06","25,480,614.96","222,577.00","114.48","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","25,164,919.08","0.06","25,164,919.08","187,532.00","134.19","United States","NYSE","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","24,935,462.64","0.06","24,935,462.64","132,396.00","188.34","United States","NASDAQ","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","24,642,605.00","0.06","24,642,605.00","94,250.00","261.46","United States","NYSE","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","24,634,836.03","0.06","24,634,836.03","341,061.00","72.23","United States","NYSE","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","24,593,118.81","0.06","24,593,118.81","129,649.00","189.69","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","24,339,333.12","0.06","24,339,333.12","198,656.00","122.52","United States","NYSE","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","24,316,334.60","0.06","24,316,334.60","42,590.00","570.94","United States","NYSE","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","24,225,131.73","0.06","24,225,131.73","308,247.00","78.59","United States","NYSE","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","24,219,390.06","0.06","24,219,390.06","259,614.00","93.29","United States","NYSE","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","24,186,074.98","0.06","24,186,074.98","598,369.00","40.42","United States","NYSE","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","24,132,544.28","0.06","24,132,544.28","920,036.00","26.23","United States","NASDAQ","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","23,761,377.00","0.06","23,761,377.00","254,350.00","93.42","United States","NASDAQ","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","23,651,211.60","0.06","23,651,211.60","1,349,955.00","17.52","United States","NYSE","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","23,440,526.00","0.06","23,440,526.00","378,073.00","62.00","United States","NASDAQ","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","23,309,411.60","0.06","23,309,411.60","236,260.00","98.66","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","23,206,871.38","0.06","23,206,871.38","53,977.00","429.94","United States","NASDAQ","USD","1.00","USD","-"
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","23,136,817.62","0.06","23,136,817.62","442,302.00","52.31","United States","NYSE","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","23,031,801.14","0.06","23,031,801.14","31,426.00","732.89","United States","NYSE","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","23,002,755.62","0.06","23,002,755.62","441,766.00","52.07","United States","NYSE","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","22,977,603.87","0.06","22,977,603.87","104,221.00","220.47","United States","NYSE","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","22,773,188.34","0.05","22,773,188.34","951,261.00","23.94","United States","NYSE","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","22,682,447.97","0.05","22,682,447.97","327,639.00","69.23","United States","NASDAQ","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","22,521,294.25","0.05","22,521,294.25","283,465.00","79.45","United States","NYSE","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","22,317,647.04","0.05","22,317,647.04","202,446.00","110.24","United States","NYSE","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","22,177,265.99","0.05","22,177,265.99","103,763.00","213.73","United States","NYSE","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","22,013,087.08","0.05","22,013,087.08","109,556.00","200.93","United States","NYSE","USD","1.00","USD","-"
"INSM","INSMED INC","Health Care","Equity","21,697,067.80","0.05","21,697,067.80","149,326.00","145.30","United States","NASDAQ","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","21,598,258.34","0.05","21,598,258.34","146,191.00","147.74","United States","NYSE","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","21,598,390.32","0.05","21,598,390.32","1,432,254.00","15.08","United States","NASDAQ","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","21,556,050.66","0.05","21,556,050.66","385,067.00","55.98","United States","NYSE","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","21,353,677.29","0.05","21,353,677.29","147,807.00","144.47","United States","NYSE","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","21,322,127.05","0.05","21,322,127.05","280,739.00","75.95","United States","NYSE","USD","1.00","USD","-"
"RKLB","ROCKET LAB CORP","Industrials","Equity","21,293,511.75","0.05","21,293,511.75","349,475.00","60.93","United States","NASDAQ","USD","1.00","USD","-"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","21,047,254.00","0.05","21,047,254.00","41,128.00","511.75","United States","NYSE","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","20,997,745.44","0.05","20,997,745.44","229,033.00","91.68","United States","NASDAQ","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","20,917,916.53","0.05","20,917,916.53","114,187.00","183.19","United States","NYSE","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","20,858,584.32","0.05","20,858,584.32","191,856.00","108.72","United States","NYSE","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","20,716,925.58","0.05","20,716,925.58","507,519.00","40.82","United States","NYSE","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","20,690,872.10","0.05","20,690,872.10","210,487.00","98.30","United States","NYSE","USD","1.00","USD","-"
"FTI","TECHNIPFMC PLC","Energy","Equity","20,631,787.47","0.05","20,631,787.47","289,813.00","71.19","United States","NYSE","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","20,588,393.43","0.05","20,588,393.43","344,691.00","59.73","United States","NASDAQ","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","20,567,754.90","0.05","20,567,754.90","381,591.00","53.90","United States","NASDAQ","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","20,455,287.60","0.05","20,455,287.60","231,290.00","88.44","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","20,449,938.40","0.05","20,449,938.40","173,968.00","117.55","United States","NYSE","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","20,399,205.84","0.05","20,399,205.84","146,926.00","138.84","United States","NYSE","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","20,388,870.72","0.05","20,388,870.72","628,704.00","32.43","United States","NASDAQ","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","20,373,840.06","0.05","20,373,840.06","765,646.00","26.61","United States","NYSE","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","20,300,280.00","0.05","20,300,280.00","74,360.00","273.00","United States","Cboe BZX","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","20,143,463.92","0.05","20,143,463.92","69,662.00","289.16","United States","NYSE","USD","1.00","USD","-"
"DOV","DOVER CORP","Industrials","Equity","19,888,762.20","0.05","19,888,762.20","96,267.00","206.60","United States","NYSE","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","19,809,556.26","0.05","19,809,556.26","467,427.00","42.38","United States","NYSE","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","19,810,036.95","0.05","19,810,036.95","526,163.00","37.65","United States","NYSE","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","19,791,362.97","0.05","19,791,362.97","818,163.00","24.19","United States","NYSE","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","19,696,736.20","0.05","19,696,736.20","120,212.00","163.85","United States","NYSE","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","19,593,711.60","0.05","19,593,711.60","305,198.00","64.20","United States","NASDAQ","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","19,576,856.76","0.05","19,576,856.76","32,996.00","593.31","United States","NYSE","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","19,563,178.60","0.05","19,563,178.60","74,926.00","261.10","United States","NYSE","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","19,502,494.48","0.05","19,502,494.48","389,816.00","50.03","United States","NYSE","USD","1.00","USD","-"
