iShares Russell 1000 ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"120,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","168,518,582.10","0.40","168,518,582.10","209,890.00","802.89","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","168,321,556.80","0.40","168,321,556.80","649,840.00","259.02","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","167,891,989.68","0.40","167,891,989.68","1,202,148.00","139.66","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","164,691,689.68","0.39","164,691,689.68","335,339.00","491.12","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","164,528,493.36","0.39","164,528,493.36","192,846.00","853.16","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","157,033,513.26","0.38","157,033,513.26","664,439.00","236.34","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","156,156,443.80","0.37","156,156,443.80","510,482.00","305.90","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","151,646,414.40","0.36","151,646,414.40","3,014,240.00","50.31","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","149,763,566.64","0.36","149,763,566.64","978,591.00","153.04","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","143,640,422.70","0.34","143,640,422.70","4,936,097.00","29.10","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","136,186,548.40","0.33","136,186,548.40","1,490,006.00","91.40","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","135,910,997.22","0.33","135,910,997.22","3,151,194.00","43.13","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","135,647,307.90","0.32","135,647,307.90","93,990.00","1,443.21","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","133,986,622.13","0.32","133,986,622.13","384,169.00","348.77","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","132,917,970.64","0.32","132,917,970.64","1,237,828.00","107.38","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","128,603,081.13","0.31","128,603,081.13","1,236,687.00","103.99","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","128,325,360.54","0.31","128,325,360.54","810,186.00","158.39","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","127,711,581.28","0.31","127,711,581.28","269,798.00","473.36","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","123,825,160.48","0.30","123,825,160.48","798,254.00","155.12","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","123,327,939.77","0.30","123,327,939.77","647,969.00","190.33","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","119,426,249.25","0.29","119,426,249.25","889,581.00","134.25","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","118,242,271.20","0.28","118,242,271.20","883,724.00","133.80","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","117,251,682.86","0.28","117,251,682.86","1,268,683.00","92.42","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","116,768,106.48","0.28","116,768,106.48","651,208.00","179.31","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","114,147,272.20","0.27","114,147,272.20","252,170.00","452.66","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","112,763,319.13","0.27","112,763,319.13","385,819.00","292.27","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","110,155,001.20","0.26","110,155,001.20","1,192,670.00","92.36","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","109,756,549.76","0.26","109,756,549.76","4,059,044.00","27.04","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","107,777,602.52","0.26","107,777,602.52","871,846.00","123.62","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","107,311,317.12","0.26","107,311,317.12","349,048.00","307.44","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","102,800,019.52","0.25","102,800,019.52","539,576.00","190.52","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","101,917,721.11","0.24","101,917,721.11","426,809.00","238.79","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","101,700,000.40","0.24","101,700,000.40","108,904.00","933.85","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","101,402,908.24","0.24","101,402,908.24","454,477.00","223.12","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","99,938,582.88","0.24","99,938,582.88","279,658.00","357.36","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","99,513,354.60","0.24","99,513,354.60","1,438,470.00","69.18","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","98,854,314.48","0.24","98,854,314.48","174,457.00","566.64","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","97,075,178.10","0.23","97,075,178.10","763,710.00","127.11","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","96,193,742.97","0.23","96,193,742.97","491,361.00","195.77","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","94,241,648.00","0.23","94,241,648.00","23,200.00","4,062.14","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","92,118,242.25","0.22","92,118,242.25","399,975.00","230.31","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","90,817,924.80","0.22","90,817,924.80","147,470.00","615.84","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","88,905,801.66","0.21","88,905,801.66","736,158.00","120.77","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","87,823,400.64","0.21","87,823,400.64","216,186.00","406.24","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","85,485,835.50","0.20","85,485,835.50","663,195.00","128.90","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","85,144,146.94","0.20","85,144,146.94","1,454,461.00","58.54","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","84,632,292.00","0.20","84,632,292.00","439,420.00","192.60","United States","NYSE","USD","1.00","USD","-"
