Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
AN,"Autonation Inc",6320307000,7.47,21.34,1021100000,1.21,N/A,0.00%,2024-07-19
ANET,"Arista Networks Inc",114734736000,54.62,6.69,2087320000,1.11,N/A,0.00%,2024-07-30
ANSS,"Ansys Inc",28918124000,52.82,6.19,500410000,1.11,N/A,0.00%,2024-08-07
AON,"AON Plc",64329128000,20.15,14.63,2564000000,0.91,2.52,0.85%,2024-07-26
AOS,"Smith A.O. Corp",11804001000,20.89,3.88,556600000,1.15,1.56,1.94%,2024-07-23
APA,"Apa Corp",10616091000,7.16,4.11,2855000000,3.26,1,3.50%,2024-08-07
APD,"Air Products and Chemicals",56170056000,21.44,11.8,2300200000,0.81,7.04,2.79%,2024-08-01
APG,"Api Group Corp",10118447000,22.09,1.67,153000000,1.57,N/A,0.00%,2024-08-01
APH,"Amphenol Corp",81694160000,43.46,1.56,1928000000,1.25,0.435,0.64%,2024-07-24
APLS,"Apellis Pharmaceuticals Inc",4398304000,0,-3.46,-528630000.,0.88,N/A,0.00%,2024-07-29
APO,"Apollo Asset Management Inc",67463432000,18.9,6.34,5047000000,1.59,1.753,1.48%,2024-08-01
APP,"Applovin Corp Cl A",28558418000,51.76,1.68,356710000,1.86,N/A,0.00%,2024-08-07
APPF,"Appfolio Cl A",9146680000,245.07,1.02,2700000,0.8,N/A,0.00%,2024-07-25
APTV,"Aptiv Plc",19093312000,13.66,5.11,2938000000,1.79,N/A,0.00%,2024-08-01
AR,"Antero Resources Corp",10135417000,3329.99,0.01,242920000,3.39,N/A,0.00%,2024-07-24
ARE,"Alexandria Real Estate Equities",20426336000,12.82,1.07,103640000,1.15,5.08,4.35%,2024-07-22
ARES,"Ares Management LP",42835020000,36.99,3.74,474330000,1.22,3.4,2.46%,2024-08-06
ARMK,"Aramark Holdings Corp",8531460000,19.56,1.7,674110000,1.59,0.38,1.17%,2024-08-13
ARW,"Arrow Electronics",6250798000,8.03,14.9,903510000,1.27,N/A,0.00%,2024-08-01
AS,"Amer Sports Inc",6057948000,0,-0.03,-208600000.,N/A,N/A,0.00%,2024-08-20
ASH,"Ashland Inc",4642762000,27.72,3.36,178000000,0.9,1.56,1.68%,2024-07-23
ATI,"Ati Inc",7013495000,25.41,2.26,410800000,1.07,N/A,0.00%,2024-08-06
ATO,"Atmos Energy Corp",17293520000,17.27,6.67,885860000,0.67,3.155,2.75%,2024-08-07
ATR,Aptargroup,9336596000,27.74,5.09,284490000,0.57,1.64,1.16%,2024-07-25
AVB,"Avalonbay Communities",28902150000,18.68,6.72,928830000,0.96,6.7,3.30%,2024-07-31
AVGO,"Broadcom Ltd",792870400000,47.36,36.51,14082000000,1.17,20.35,1.19%,2024-08-29
AVT,"Avnet Inc",4569613000,8.28,6.17,770830000,1.16,1.24,2.45%,2024-08-21
AVTR,"Avantor Inc",14284964000,21.01,1,321100000,1.32,N/A,0.00%,2024-07-26
AVY,"Avery Dennison Corp",17402670000,25.6,8.47,503000000,0.88,3.31,1.53%,2024-07-23
AWI,"Armstrong World Industries Inc",4907021000,20.23,5.58,223800000,1.14,1.094,0.98%,2024-07-23
AWK,"American Water Works",25328936000,25.96,4.93,944000000,0.67,2.888,2.22%,2024-07-24
AXON,"Axon Enterprise Inc",22517844000,120.55,2.46,174230000,0.95,N/A,0.00%,2024-08-13
AXP,"American Express Company",169489360000,19.42,12.14,8374000000,1.21,3.2,1.36%,2024-07-19
AXS,"Axis Capital Holdings",5844927000,6.88,10.08,376290000,0.9,1.76,2.55%,2024-07-30
AXTA,"Axalta Coating Systems Ltd",7446803000,19.98,1.71,267400000,1.44,N/A,0.00%,2024-08-01
AYI,"Acuity Brands Inc",7357140000,17.22,14.13,346000000,1.41,0.56,0.23%,2024-06-27
AZEK,"The Azek Company Cl A",5948817000,36.63,1.11,67960000,1.88,N/A,0.00%,2024-08-13
